Stock	Date	comm	type	buy_volume	buy_price	cost	sell_volume	sell_price	sell_value	sell_tax
AMZN	2016-10-03	10	buy	4	789.82	3169.28	0	0	0	0
AMZN	2018-08-01	10	buy	2	2012.71	4035.42	0	0	0	0
AMZN	2019-08-20	10	sell	0	0	0	6	1776.29	10647.74	504.50
AMZN	2019-08-20	10	buy	3	1770	5320	0	0	0	0
AMZN	2019-08-20	10	buy	1	1760	1770	0	0	0	0
GOOG	2017-02-01	10	buy	4	823.21	3302.84	0	0	0	0
GOOG	2017-02-01	10	buy	2	820	1650	0	0	0	0
GOOG	2019-03-01	10	buy	2	1173.31	2356.62	0	0	0	0
GOOG	2020-03-01	10	sell	0	0	0	3	1162.81	3478.43	230.94
NFLX	2017-12-01	10	buy	20	191.96	3849.2000000000003	0	0	0	0
NFLX	2018-06-01	10	buy	10	391.43	3924.3	0	0	0	0
NFLX	2020-05-01	10	sell	0	0	0	5	419.73	2088.65	214.7
AMZN	2020-09-02	25	sell	0	0	0	4	3175	12675	114.8
